model_name,feature_columns,test_next_season,train_next_seasons,train_rows,test_rows,actual_positive_rows,predicted_positive_rows,top_k,top_k_capture,accuracy,precision,recall,brier_score,log_loss
baseline_n_riders_150,n_riders_150_plus,2023,2022,16,12,3,1,3,0.33333333,0.66666667,0.0,0.0,0.23247289,0.68050816
baseline_n_riders_150,n_riders_150_plus,2024,"2022, 2023",28,16,5,3,5,0.8,0.875,1.0,0.6,0.12732087,0.42368287
baseline_n_riders_150,n_riders_150_plus,2025,"2022, 2023, 2024",44,17,5,4,5,1.0,0.94117647,1.0,0.8,0.09413934,0.34243194
baseline_depth_concentration,"n_riders_150_plus, top5_share, effective_contributors",2023,2022,16,12,3,2,3,0.33333333,0.75,0.5,0.33333333,0.23370824,0.68219656
baseline_depth_concentration,"n_riders_150_plus, top5_share, effective_contributors",2024,"2022, 2023",28,16,5,3,5,0.6,0.875,1.0,0.6,0.14494221,0.45878536
baseline_depth_concentration,"n_riders_150_plus, top5_share, effective_contributors",2025,"2022, 2023, 2024",44,17,5,4,5,1.0,0.94117647,1.0,0.8,0.09484328,0.34321104
