race_id,race_name,category,date_label,month,year
9376,Slezanski Mnich,1.2,12.04,4,2026
465,Tour d'Algérie,2.2,17.04-26.04,4,2026
1285,Tour du Jura,1.1,18.04,4,2026
294,Tour du Loir-et-Cher,2.2,15.04-19.04,4,2026
27606,Tour of Bosnia and Herzegovina,2.2,17.04-19.04,4,2026
22005,Tour of Bostonliq,2.2,28.04-29.04,4,2026
139,Tour of Hainan,2.Pro,15.04-19.04,4,2026
938,Tour of Mersin,2.2,09.04-12.04,4,2026
62,Tour of the Alps,2.Pro,20.04-24.04,4,2026
153,Vuelta a Asturias,2.1,23.04-26.04,4,2026
175,4 Jours de Dunkerque,2.Pro,20.05-24.05,5,2026
315,Alpes Isère Tour,2.2,27.05-31.05,5,2026
10204,Antwerp Port Epic,1.1,25.05,5,2026
27600,Baku-Khankendi Azerbaijan Cycling Race,2.1,10.05-14.05,5,2026
24925,Beskid Classic,1.2,10.05,5,2026
182,Boucles de l'Aulne,1.1,17.05,5,2026
343,Boucles de la Mayenne,2.Pro,28.05-31.05,5,2026
537,Circuit de Wallonie,1.1,14.05,5,2026
535,Circuito del Porto,1.2,17.05,5,2026
24917,Classique Dunkerque,1.Pro,19.05,5,2026
20757,De Fokker Slag om Woensdrecht,1.2,03.05,5,2026
734,Due Giorni Marchigiana - G.P. Santa Rita,1.2,23.05,5,2026
35,Eschborn-Frankfurt,1.UWT,01.05,5,2026
7660,Famenne Ardenne Classic,1.1,03.05,5,2026
554,Flèche Ardennaise,1.2,07.05,5,2026
67,Flèche du Sud,2.1,13.05-17.05,5,2026
736,Fyen Rundt,1.2,03.05,5,2026
3277,GP Anicolor,2.1,01.05-03.05,5,2026
4008,GP Beiras e Serra da Estrela,2.1,20.05-24.05,5,2026
72,GP Herning,1.2,02.05,5,2026
1047,GP Vorarlberg,1.2,01.05,5,2026
13,Giro d'Italia,2.UWT,08.05-31.05,5,2026
22007,Gran Premio New York City,1.2,17.05,5,2026
539,Grand Prix Criquielion,1.1,24.05,5,2026
18424,Grand Prix de Cotonou,1.2,03.05,5,2026
180,Grand Prix du Morbihan,1.Pro,09.05,5,2026
27797,La Vesdrienne,1.2,06.05,5,2026
544,Omloop der Kempen,1.2,17.05,5,2026
286,Omloop van het Waasland,1.2,01.05,5,2026
285,Paris-Troyes,1.2,25.05,5,2026
49,Ringerike GP,1.2,10.05,5,2026
577,Ronde van Overijssel,1.2,02.05,5,2026
144,Rund um Köln,1.1,17.05,5,2026
22003,Silesian Beskid Race,1.2,09.05,5,2026
73,Sundvolden GP,1.2,09.05,5,2026
82,Tour de Bretagne,2.2,25.04-01.05,5,2026
765,Tour de Hongrie,2.Pro,13.05-17.05,5,2026
502,Tour de Kumano,2.2,07.05-10.05,5,2026
12,Tour de Romandie,2.UWT,28.04-03.05,5,2026
6156,Tour du Bénin,2.2,27.04-02.05,5,2026
147,Tour du Finistère,1.1,16.05,5,2026
7657,Tour of Albania,2.2,18.05-22.05,5,2026
513,Tour of Hellas,2.1,06.05-10.05,5,2026
341,Tour of Japan,2.2,24.05-31.05,5,2026
22010,Tour of Lithuania,2.2,27.05-31.05,5,2026
152,Tour of Türkiye,2.Pro,26.04-03.05,5,2026
22519,Tour of Yellow River (Dongying),2.2,16.05-17.05,5,2026
239,Tour of the Gila,2.2,29.04-03.05,5,2026
148,Tro-Bro Leon,1.Pro,10.05,5,2026
408,Trofeo Castelfidardo,1.2,24.05,5,2026
50,Veenendaal Classic,1.1,23.05,5,2026
17278,Vuelta Bantrab,2.2,29.04-03.05,5,2026
18948,Andorra MoraBanc Clàssica,1.1,21.06,6,2026
60,Baloise Belgium Tour,2.Pro,17.06-21.06,6,2026
64,Brussels Cycling Classic,1.Pro,07.06,6,2026
231,Circuit Franco-Belge,1.Pro,10.06,6,2026
24928,Classique of Mauritius,1.2,07.06,6,2026
24060,Copenhagen Sprint,1.UWT,14.06,6,2026
425,Dwars door het Hageland,1.1,13.06,6,2026
580,GP Czechia,1.2,06.06,6,2026
199,GP Gippingen,1.1,14.06,6,2026
579,GP Poland,1.2,07.06,6,2026
