team_slug,team_name,planning_year,race_name,category,start_date,status,historical_years_analyzed,avg_top10_points,base_opportunity_points,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,matched_via,history_fallback_from,history_fallback_flag,zero_expected_points_flag,positive_actual_points_flag,missing_historical_anchor_flag,missing_completed_ev_components_flag,notes,source_path
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,Alpes Isère Tour,2.2,2026-05-27,scheduled,,656.0276422764229,233.57396975588452,0.8162466639220302,0.8,0.25,38.13079471845318,,,normalized_name,2.1,True,False,False,True,False,matched_via=normalized_name | history_fallback_from=2.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/bardiani_csf_7_saber_2026_calendar_ev.csv
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,Trofeo Alcide Degasperi,1.2,2026-06-02,scheduled,,540.2378378378378,117.75525419786504,0.785720603501376,0.95,0.25,21.97414823102856,,,token_overlap,1.1,True,False,False,True,False,matched_via=token_overlap | history_fallback_from=1.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/bardiani_csf_7_saber_2026_calendar_ev.csv
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,Trofeo Citta di Brescia,1.2,2026-06-30,scheduled,,540.2378378378378,117.75525419786504,0.785720603501376,0.95,0.25,21.97414823102856,,,normalized_name,1.1,True,False,False,True,False,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/bardiani_csf_7_saber_2026_calendar_ev.csv
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,GP Kranj,1.1,2026-08-30,scheduled,,540.2378378378378,117.75525419786504,0.785720603501376,0.95,0.4,35.158637169645694,,,normalized_name,1.1,True,False,False,True,False,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/bardiani_csf_7_saber_2026_calendar_ev.csv
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,Giro della Regione Friuli,2.2,2026-09-03,scheduled,,656.0276422764229,233.57396975588452,0.8162466639220302,0.8,0.25,38.13079471845318,,,token_overlap,2.1,True,False,False,True,False,matched_via=token_overlap | history_fallback_from=2.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/bardiani_csf_7_saber_2026_calendar_ev.csv
bardiani-csf-7-saber,Bardiani CSF 7 Saber,2026,Giro del Lazio,1.1,2026-09-19,scheduled,,540.2378378378378,117.75525419786504,0.785720603501376,0.95,0.4,35.158637169645694,,,token_overlap,1.1,True,False,False,True,False,matched_via=token_overlap | history_fallback_from=1.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/bardiani_csf_7_saber_2026_calendar_ev.csv
burgos-burpellet-bh,Burgos Burpellet BH,2026,Pune Grand Tour,2.2,2026-01-19,completed,,656.0276422764229,233.57396975588452,0.8028782413404978,0.8,0.25,37.50629161210464,34.0,-3.50629161210464,normalized_name,2.1,True,False,True,True,False,matched_via=normalized_name | history_fallback_from=2.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/burgos_burpellet_bh_2026_calendar_ev.csv
burgos-burpellet-bh,Burgos Burpellet BH,2026,Classica Camp de Morvedre,1.1,2026-01-23,completed,,540.2378378378378,117.75525419786504,0.7815367674425668,0.8,0.4,29.449619428856707,8.0,-21.449619428856707,normalized_name,1.1,True,False,True,True,False,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/burgos_burpellet_bh_2026_calendar_ev.csv
burgos-burpellet-bh,Burgos Burpellet BH,2026,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,,540.2378378378378,117.75525419786504,0.7815367674425668,0.8,0.4,29.449619428856707,3.01,-26.43961942885671,token_overlap,1.1,True,False,True,True,False,matched_via=token_overlap | history_fallback_from=1.1 | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/burgos_burpellet_bh_2026_calendar_ev.csv
burgos-burpellet-bh,Burgos Burpellet BH,2026,Omloop Nieuwsblad,1.UWT,2026-02-28,completed,,895.7142857142857,310.9190445598454,0.776832427813835,0.8,0.18,34.780607458413506,0.0,-34.780607458413506,normalized_name,1.Pro,True,False,False,True,False,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,/Volumes/Developer/Developer/uci-points-optimization-model/data/team_ev/burgos_burpellet_bh_2026_calendar_ev.csv
