team_slug,planning_year,detected_at_utc,change_type,race_id,race_name,old_value,new_value,source,notes
equipo-kern-pharma,2026,2026-04-20T11:00:51.296908+00:00,status_changed,1285,Tour du Jura,scheduled,completed,team_calendar_refresh,matched_via=token_overlap
equipo-kern-pharma,2026,2026-04-20T11:00:51.296908+00:00,status_changed,15075,Classic Grand Besançon Doubs,scheduled,completed,team_calendar_refresh,matched_via=normalized_name
equipo-kern-pharma,2026,2026-04-20T11:00:51.296908+00:00,status_changed,16526,O Gran Camiño,scheduled,completed,team_calendar_refresh,matched_via=normalized_name
