team_slug,planning_year,detected_at_utc,change_type,race_id,race_name,old_value,new_value,source,notes
modern-adventure-pro-cycling,2026,2026-08-10T10:40:38.406754+00:00,race_added,58,GP Montreal,,scheduled,team_calendar_refresh,matched_via=token_overlap
modern-adventure-pro-cycling,2026,2026-08-10T10:40:38.406754+00:00,race_added,59,GP Québec,,scheduled,team_calendar_refresh,matched_via=token_overlap
modern-adventure-pro-cycling,2026,2026-08-10T10:40:38.406754+00:00,race_added,191,Tour du Limousin,,scheduled,team_calendar_refresh,matched_via=token_overlap
