team_slug,planning_year,detected_at_utc,change_type,race_id,race_name,old_value,new_value,source,notes
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,148,Tro-Bro Leon,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,152,Tour of Türkiye,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,175,4 Jours de Dunkerque,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,180,Grand Prix du Morbihan,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,182,Boucles de l'Aulne,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,187,Tour du Poitou-Charentes,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,191,Tour du Limousin,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,192,Vuelta a Burgos,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,203,Polynormande,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,212,Route d'Occitanie,,scheduled,team_calendar_refresh,matched_via=token_overlap
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,217,Région Pays de la Loire Tour,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,250,Tour of Estonia,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,258,Sibiu Cycling Tour,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,260,La Roue Tourangelle,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,271,Trofeo Calvià,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,274,Trofeo Andratx - Pollença,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,343,Boucles de la Mayenne,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,411,Clàssica Comunitat Valenciana 1969,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,432,Faun Drome Classic,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,437,Ronde van Limburg,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,444,Gooikse Pijl,,scheduled,team_calendar_refresh,matched_via=token_overlap
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,513,Tour of Hellas,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,949,Paris-Chauny,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,1285,Tour du Jura,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,2729,GP Jean-Pierre Monseré,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,4396,Tour de La Provence,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,7660,Famenne Ardenne Classic,,scheduled,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,13188,Mercan'Tour Classic Alpes-Maritimes,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,15075,Classic Grand Besançon Doubs,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,16519,Clásica Jaén,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,21999,Classic Var,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,22183,Gran Premio Castellón,,completed,team_calendar_refresh,matched_via=alias
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,24060,Copenhagen Sprint,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,24917,Classique Dunkerque,,scheduled,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,24922,Classica Camp de Morvedre,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,27602,Visit South Aegean GP,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,27604,Region on Dodecanese GP,,completed,team_calendar_refresh,matched_via=normalized_name
unibet-rose-rockets-2026,2026,2026-04-17T06:25:20.939895+00:00,race_added,27987,Trofeo Ses Salines TTT,,completed,team_calendar_refresh,matched_via=alias
