team_slug,planning_year,detected_at_utc,change_type,race_id,race_name,old_value,new_value,source,notes
team-polti-visitmalta,2026,2026-09-19T13:15:07.462289+00:00,race_added,61,Gran Piemonte,,scheduled,team_calendar_refresh,matched_via=normalized_name
team-polti-visitmalta,2026,2026-09-19T13:15:07.462289+00:00,race_added,94,Tour de Vendée,,scheduled,team_calendar_refresh,matched_via=normalized_name
team-polti-visitmalta,2026,2026-09-19T13:15:07.462289+00:00,race_added,125,Cholet Agglo Tour,,scheduled,team_calendar_refresh,matched_via=normalized_name
team-polti-visitmalta,2026,2026-09-19T13:15:07.462289+00:00,status_changed,752,Giro d'Abruzzo,scheduled,completed,team_calendar_refresh,matched_via=token_overlap
