team_slug,planning_year,detected_at_utc,change_type,race_id,race_name,old_value,new_value,source,notes
pinarello-q365-pro-cycling-team,2026,2026-09-11T13:40:38.991314+00:00,race_added,24,Il Lombardia,,scheduled,team_calendar_refresh,matched_via=normalized_name
pinarello-q365-pro-cycling-team,2026,2026-09-11T13:40:38.991314+00:00,race_added,29,Giro dell'Emilia,,scheduled,team_calendar_refresh,matched_via=normalized_name
pinarello-q365-pro-cycling-team,2026,2026-09-11T13:40:38.991314+00:00,race_added,7591,Tour of Guangxi,,scheduled,team_calendar_refresh,matched_via=normalized_name
pinarello-q365-pro-cycling-team,2026,2026-09-11T13:40:38.991314+00:00,status_changed,160,Coppa Sabatini,scheduled,completed,team_calendar_refresh,matched_via=token_overlap
