team_slug,planning_year,detected_at_utc,change_type,race_id,race_name,old_value,new_value,source,notes
tudor-pro-cycling-team,2026,2026-06-20T11:28:53.996395+00:00,status_changed,15,Tour Auvergne - Rhône-Alpes,scheduled,completed,team_calendar_refresh,matched_via=normalized_name
tudor-pro-cycling-team,2026,2026-06-20T11:28:53.996395+00:00,status_changed,199,GP Gippingen,scheduled,completed,team_calendar_refresh,matched_via=normalized_name
tudor-pro-cycling-team,2026,2026-06-20T11:28:53.996395+00:00,status_changed,24060,Copenhagen Sprint,scheduled,completed,team_calendar_refresh,matched_via=normalized_name
