team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
unibet-rose-rockets,Unibet Rose Rockets,2026,129,Clasica de Almeria,1.Pro,15.02,2,2026-02-15,2026-02-15,clasica-de-almeria,5.0,One-day,sprint-friendly one-day,915.0,200.0,23.605323832074316,0.0,0.0,3.9300000000000006,0.37141337792062823,339.84324079737485,0.3827577319587629,0.13361791237113402,0.4206862113402062,0.8262058634020618,0.8,0.3,67.38731476424397,60.0,-7.387314764243968,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,16519,Clásica Jaén,1.1,16.02,2,2026-02-16,2026-02-16,clasica-jaen-paraiso-interior,4.0,One-day,sprint-friendly one-day,540.0,125.0,24.841635097291935,0.0,0.0,2.2375000000000003,0.31563402702633647,170.4423745942217,0.3958440721649484,0.1745127255154639,0.4713957796391752,0.8414187338917525,0.8,0.4,45.89229025042363,16.0,-29.892290250423628,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,21999,Classic Var,1.1,21.02,2,2026-02-21,2026-02-21,classic-var,2.0,One-day,sprint-friendly one-day,540.0,125.0,27.88235294117647,0.0,0.0,1.975,0.3546990042322327,191.53746228540567,0.39787371134020616,0.18085534793814434,0.47926063144329895,0.8437781894329897,0.8,0.4,51.71684260344613,0.0,-51.71684260344613,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,111,Tour des Alpes-Maritimes,1.1,22.02,2,2026-02-22,2026-02-22,tour-des-alpes-maritimes,5.0,Stage race,short stage race,597.2,161.4,13.114396553715306,57.2,2.6,4.7780000000000005,0.17515101002405623,104.60018318636638,0.3037711934786537,0.12155982542306945,0.34938822053205976,0.8048164661596179,0.8,0.4,26.938863933344027,5.0,-21.938863933344027,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,121,Faun-Ardèche Classic,1.Pro,28.02,2,2026-02-28,2026-02-28,faun-ardeche-classic,5.0,One-day,sprint-friendly one-day,915.0,200.0,17.329949942827795,0.0,0.0,5.37,0.27342861595030515,250.18718359452922,0.37162371134020616,0.09882409793814435,0.377541881443299,0.8132625644329896,0.8,0.3,48.83228892440496,0.0,-48.83228892440496,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,53,Omloop Nieuwsblad,1.UWT,28.02,2,2026-02-28,2026-02-28,omloop-het-nieuwsblad,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,64.0,27.285388036604232,completed,active,team_program_live,overlap_3,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,27602,Visit South Aegean GP,1.1,28.02,2,2026-02-28,2026-02-28,visit-south-aegean-gp,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.3869533702516949,0.14527251380167128,0.43548754149044244,0.8306462624471327,0.8,0.4,31.300147770549962,77.0,45.69985222945004,completed,active,team_program_live,overlap_3,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,432,Faun Drome Classic,1.Pro,01.03,3,2026-03-01,2026-03-01,la-drome-classic,5.0,One-day,hard one-day,915.0,200.0,16.413939844623638,0.0,0.0,5.642,0.25793120038567285,236.00704835289065,0.3663247422680413,0.09225193298969073,0.3669954896907217,0.8100986469072164,0.8,0.3,45.88535772749825,22.0,-23.885357727498253,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,84,Kuurne-Brussel-Kuurne,1.Pro,01.03,3,2026-03-01,2026-03-01,kuurne-brussel-kuurne,5.0,One-day,sprint-friendly one-day,915.0,200.0,16.728202736967194,0.0,0.0,5.486,0.2644596742503294,241.9806019390514,0.37072680412371134,0.09602126288659796,0.3740663659793815,0.8122199097938144,0.8,0.3,47.169951042909425,10.0,-37.169951042909425,completed,active,team_program_live,overlap_3,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,27604,Region on Dodecanese GP,1.1,01.03,3,2026-03-01,2026-03-01,region-on-dodecanese-gp,,One-day,sprint-friendly one-day,540.2378378378378,125.15135135135137,18.182291815424215,0.23783783783783785,0.010810810810810811,3.449105855855856,0.21793702039839688,117.75525419786504,0.3869533702516949,0.14527251380167128,0.43548754149044244,0.8306462624471327,0.8,0.4,31.300147770549962,79.0,47.69985222945004,completed,active,team_program_live,overlap_3,matched_via=normalized_name | history_fallback_from=1.1 | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,116,Ename Samyn Classic,1.1,03.03,3,2026-03-03,2026-03-03,gp-samyn,5.0,One-day,sprint-friendly one-day,540.0,125.0,10.903397421859172,0.0,0.0,5.162,0.10329416882364337,55.77885116476742,0.37323195876288656,0.10384987113402062,0.38377384020618555,0.8151321520618556,0.8,0.4,14.54948319663194,28.0,13.45051680336806,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,112,Trofeo Laigueglia,1.Pro,04.03,3,2026-03-04,2026-03-04,trofeo-laigueglia,5.0,One-day,sprint-friendly one-day,915.0,200.0,17.738346094233776,0.0,0.0,5.228,0.2807387465459221,256.87595308951876,0.37272164948453607,0.10225515463917527,0.38179639175257735,0.8145389175257731,0.8,0.3,50.2165105843051,8.0,-42.2165105843051,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,54,Strade Bianche,1.UWT,07.03,3,2026-03-07,2026-03-07,strade-bianche,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,43.0,6.285388036604232,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,89,Milano - Torino,1.Pro,18.03,3,2026-03-18,2026-03-18,milano-torino,5.0,One-day,sprint-friendly one-day,915.0,200.0,24.410604084659276,0.0,0.0,4.042,0.3782503116697278,346.09903517780094,0.38189175257731955,0.13091172680412372,0.4173305412371134,0.825199162371134,0.8,0.3,68.54415214228297,19.0,-49.54415214228297,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,122,Nokere Koerse,1.Pro,18.03,3,2026-03-18,2026-03-18,nokere-koerse,5.0,One-day,sprint-friendly one-day,915.0,200.0,21.186232896003624,0.0,0.0,4.494,0.3334693371088817,305.12444345462677,0.37839690721649477,0.11999033505154641,0.4037880154639175,0.8211364046391751,0.8,0.3,60.13170923180677,47.0,-13.131709231806767,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,146,GP de Denain,1.Pro,19.03,3,2026-03-19,2026-03-19,gp-de-denain,5.0,One-day,sprint-friendly one-day,915.0,200.0,22.91809880585098,0.0,0.0,4.108,0.36029046275782084,329.66577342340605,0.38138144329896906,0.12931701030927836,0.4153530927835052,0.8246059278350515,0.8,0.3,65.24264423262423,9.0,-56.24264423262423,completed,active,team_program_live,,matched_via=token_overlap,2026-04-18
